cik,acc_nodash,date_filed,company_name,reason
0000057538,000101968704001245,2004-06-03,LANCER ORTHODONTICS INC /CA/,no_permno_link
0000073290,000101968704001244,2004-06-03,BIOMERICA INC,no_permno_link
0001092662,000101540204002483,2004-06-04,TRADING SOLUTIONS COM INC,no_permno_link
0000859792,000085979204000006,2004-06-07,AMERICAN UNITED GLOBAL  INC,no_permno_link
0001036668,000112785504000329,2004-06-07,MATERIAL TECHNOLOGIES INC /CA/,no_permno_link
0001076784,000110454004000134,2004-06-07,GAOFENG GOLD CORP,no_permno_link
0001056943,000105694304000052,2004-06-07,PEOPLES FINANCIAL SERVICES CORP/,no_permno_link
0001263764,000112707404000033,2004-06-08,FACEPRINT GLOBAL SOLUTIONS INC,no_permno_link
0001139220,000116415004000091,2004-06-08,ELECTRA CAPITAL INC /NV,no_permno_link
0001098880,000093173104000156,2004-06-08,BIG FLASH CORP,no_permno_link
0001098881,000093173104000155,2004-06-08,CALYPSO FINANCIAL SERVICES INC,no_permno_link
0001204947,000094344004000292,2004-06-08,GIANT MOTORSPORTS INC,no_permno_link
0000915355,000095000504000519,2004-06-09,ORYX TECHNOLOGY CORP,no_permno_link
0000740942,000116855704000051,2004-06-09,TOWER BANCORP INC,no_permno_link
0001283458,000106823804000874,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TRUST II FOR IBM DEBENTURES,no_permno_link
0001283457,000106823804000872,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TR FOR FIRST UNION INST CAP I,no_permno_link
0000850453,000085045304000005,2004-06-10,URBAN IMPROVEMENT FUND LIMITED 1972,no_permno_link
0000102342,000085045304000006,2004-06-10,URBAN IMPROVEMENT FUND LTD 1973 II,no_permno_link
0000102343,000010234304000005,2004-06-10,URBAN IMPROVEMENT FUND LTD 1974,no_permno_link
0001283461,000106823804000868,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TR II FOR BELLSOUTH DEBENTURE,no_permno_link
0001283319,000106823804000878,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TR FOR VERIZON GLOB FUND NOTE,no_permno_link
0001283460,000106823804000866,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TRUST FOR IBM DENBENTURES,no_permno_link
0001283326,000106823804000871,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TR IV FOR IBM DEBENTURES,no_permno_link
0001286608,000106823804000879,2004-06-10,STRUCTURED PRODUCTS CORP TIERS R INFLATION LINKED TR 2004-21,no_permno_link
0001283316,000106823804000880,2004-06-10,STRUCTURED PRODUCTS CORP TIERS CORP BOND BACK CERT TR 1997-4,no_permno_link
0001283455,000106823804000867,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TRUST FOR CORNING NOTES,no_permno_link
0001096199,000095000504000521,2004-06-10,VA SOFTWARE CORP,no_permno_link
0001283462,000106823804000869,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TR FOR BELLSOUTH DEBENTURES,no_permno_link
0001283465,000106823804000873,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TRUST III FOR IBM DEBENTURES,no_permno_link
0001257017,000106823804000875,2004-06-10,STRUCTURED PRODUCTS CORP CASTSM STEP UP TR FOR MORG STAN NTS,no_permno_link
0001283454,000106823804000870,2004-06-10,STRUCTURED PRODUCTS CORP CORTS TR FOR ALLSTATE FINANCING II,no_permno_link
0001228086,000106823804000876,2004-06-10,STRUCTURED PRODUCTS CORP CAST STEP UP TRUST DOW CHEM NOTES,no_permno_link
0001226024,000106823804000882,2004-06-10,STRUCTURED PRODUCTS CORP CAST STEP UP TR FOR CIT GROUP NOTES,no_permno_link
0001281118,000106823804000881,2004-06-10,CORTS TRUST FOR INTL BUSINESS MACHINES CORP DEBENTURES,no_permno_link
0001093984,000111650204001552,2004-06-10,P D C INNOVATIVE INDUSTRIES INC,no_permno_link
0001274365,000106823804000877,2004-06-10,STRUCTURED PROD CORP CORTS TR II FOR VERIZON GLOB  FUND  NTS,no_permno_link
0001288749,000106823804000883,2004-06-10,CorTS(R) Trust III For Verizon Global Funding Notes,no_permno_link
0001036668,000112785504000347,2004-06-14,MATERIAL TECHNOLOGIES INC /CA/,no_permno_link
0000070502,000007050204000086,2004-06-14,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,no_permno_link
0001070190,000091431704002426,2004-06-14,ONEIDA FINANCIAL CORP,no_permno_link
0001100732,000103883804000520,2004-06-14,CENTURY CONTROLS INC,no_permno_link
0001123596,000112359604000007,2004-06-14,BAB INC,no_permno_link
