cik,acc_nodash,date_filed,filing_year,auditor_out,auditor_in,out_big4,in_big4,quality_direction,reason,disagreements
821356,000093980201000107,2001-03-14,2001,,,,,nonBig4_to_nonBig4,resignation,True
1099136,000102859601000034,2001-03-15,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1077561,000089109201000405,2001-03-15,2001,,,,,nonBig4_to_nonBig4,unclassified,True
922487,000095011601000434,2001-03-15,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1062128,000089155401501401,2001-03-15,2001,,,,,nonBig4_to_nonBig4,unclassified,True
829117,000111650201500056,2001-03-15,2001,,,,,nonBig4_to_nonBig4,dismissal,True
225211,000022521101000007,2001-03-15,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1119687,000111968701500004,2001-03-15,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1064481,000094935301000108,2001-03-16,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1113679,000093173101000083,2001-03-16,2001,,,,,nonBig4_to_nonBig4,resignation,True
1056943,000090359401500033,2001-03-16,2001,,,,,nonBig4_to_nonBig4,dismissal,True
789877,000102670001500044,2001-03-19,2001,,,,,nonBig4_to_nonBig4,unclassified,True
894536,000110801701000087,2001-03-19,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1100273,000105050201000259,2001-03-19,2001,,,,,nonBig4_to_nonBig4,resignation,True
937603,000101968701000347,2001-03-19,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1088205,000100515001000218,2001-03-19,2001,,,,,nonBig4_to_nonBig4,dismissal,True
821356,000093980201000109,2001-03-20,2001,,,,,nonBig4_to_nonBig4,resignation,True
54424,000093980201000108,2001-03-20,2001,,,,,nonBig4_to_nonBig4,resignation,True
1130764,000095016801000545,2001-03-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
831979,000100547701002026,2001-03-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1125131,000095016801000544,2001-03-20,2001,,,,,nonBig4_to_nonBig4,unclassified,False
758722,000095012901001549,2001-03-21,2001,Ernst & Young,PricewaterhouseCoopers,True,True,Big4_to_Big4,resignation,True
1010612,000095014401500361,2001-03-21,2001,,Deloitte,,True,nonBig4_to_Big4,dismissal,True
1043825,000101489701000032,2001-03-22,2001,,,,,nonBig4_to_nonBig4,resignation,True
5656,000109851201000040,2001-03-22,2001,,,,,nonBig4_to_nonBig4,dismissal,True
751976,000091205701007982,2001-03-22,2001,KPMG,Deloitte,True,True,Big4_to_Big4,dismissal,True
878355,000093066101000654,2001-03-23,2001,KPMG,KPMG,True,True,Big4_to_Big4,dismissal,True
1031911,000089161801500204,2001-03-23,2001,,Moss Adams,,False,nonBig4_to_nonBig4,unclassified,False
